"","source","target","level_source","level_target","value"
"1","Entertainment","Creative hobbies","4","3",1
"2","Entertainment","Indoor leisure and resting","4","3",10
"3","Entertainment","Outdoor leisure","4","3",5
"4","Entertainment","Physical activity","4","3",1
"5","Entertainment","Repairing","4","3",1
"6","Household","Errands","4","3",2
"7","Household","Housework","4","3",3
"8","Household","Shopping","4","3",4
"9","Maintenance","Health and personal care","4","3",6
"10","Maintenance","Physiology","4","3",4
"11","Maintenance","Transportation","4","3",1
"12","Maintenance","Waiting","4","3",0
"13","Other/Socializing","Helping","4","3",2
"14","Other/Socializing","Important events","4","3",2
"15","Other/Socializing","Social activity","4","3",2
"16","Socializing","Family time","4","3",10
"17","Socializing","Other socializing","4","3",1
"18","Socializing","Time with friends","4","3",10
"19","Socializing","Time with partner","4","3",7
"20","Socializing","Time with pets","4","3",4
"21","Work and studying","Studying and extra classes","4","3",10
"22","Work and studying","School/University classes","4","3",2
"23","Work and studying","Work","4","3",1
"24","Creative hobbies","Creative hobby","3","2",1
"25","Indoor leisure and resting","Reading","3","2",1
"26","Indoor leisure and resting","News","3","2",1
"27","Indoor leisure and resting","Hobby","3","2",1
"28","Outdoor leisure","Hobby","3","2",1
"29","Indoor leisure and resting","Listening to music","3","2",1
"30","Indoor leisure and resting","Intellectual entertainment","3","2",1
"31","Indoor leisure and resting","Board games","3","2",1
"32","Indoor leisure and resting","Computer games","3","2",1
"33","Indoor leisure and resting","Resting","3","2",1
"34","Indoor leisure and resting","Watching TV/movies","3","2",1
"35","Indoor leisure and resting","Surfing the Internet","3","2",1
"36","Outdoor leisure","Cultural events","3","2",1
"37","Outdoor leisure","Ability games","3","2",1
"38","Outdoor leisure","Sightseeing","3","2",1
"39","Outdoor leisure","Walking","3","2",1
"40","Physical activity","Sports","3","2",1
"41","Repairing","Do-it-yourself","3","2",1
"42","Errands","Formal errands","3","2",1
"43","Errands","Informal errands","3","2",1
"44","Housework","Caring for a family","3","2",1
"45","Housework","Cleaning","3","2",1
"46","Housework","Cooking","3","2",1
"47","Shopping","Shopping online","3","2",1
"48","Shopping","Buying gifts","3","2",2
"49","Health and personal care","Medical care","3","2",1
"50","Health and personal care","Getting ready","3","2",1
"51","Health and personal care","Beauty treatment","3","2",2
"52","Health and personal care","Getting ready for a party/date","3","2",2
"53","Physiology","Eating","3","2",1
"54","Physiology","Sleeping","3","2",1
"55","Physiology","Hygiene","3","2",1
"56","Physiology","Drinking alcohol","3","2",1
"57","Transportation","Traveling","3","2",1
"58","Family time","Babysitting","3","2",5
"59","Family time","Talking to family","3","2",2
"60","Family time","Time with family","3","2",3
"61","Other socializing","Talking to strangers","3","2",1
"62","Time with friends","Talking to acquaintances","3","2",2
"63","Time with friends","Talking to friends","3","2",2
"64","Time with friends","Time with acquaintances","3","2",3
"65","Time with partner","Date","3","2",1
"66","Time with partner","Sexual activity","3","2",1
"67","Time with partner","Talking to partner","3","2",2
"68","Time with pets","Caring for a pet","3","2",4
"69","Studying and extra classes","Exams","3","2",3
"70","Studying and extra classes","Extra classes","3","2",1
"71","School/University classes","In lecture","3","2",2
"72","Studying and extra classes","Studying","3","2",6
"73","Work","Working","3","2",1
"74","Other","Planning","4","2",1
"75","Other","Surveys, lotteries","4","2",1
"76","Other","Thinking and internal life","4","2",1
"77","Other","Religious practices","4","2",1
"78","Other","Looking for a job","4","2",1
"79","Creative hobby","Creative hobby (e.g., singing, dancing, playing instruments)","2","1",1
"80","News","Watching or reading news","2","1",1
"81","Hobby","Getting new information on ones hobby","2","1",1
"82","Hobby","Hobby (e.g., fishing)","2","1",1
