,source,target,level_source,level_target,value
1,Entertainment,Creative hobbies,4,3,1
24,Creative hobbies,Creative hobby,3,2,1
79,Creative hobby,"Creative hobby (e.g., singing, dancing, playing instruments)",2,1,1
4,Entertainment,Physical activity,4,3,1
40,Physical activity,Sports,3,2,1
5,Entertainment,Repairing,4,3,1
41,Repairing,Do-it-yourself,3,2,1
2,Entertainment,Indoor leisure and resting,4,3,10
33,Indoor leisure and resting,Resting,3,2,1
29,Indoor leisure and resting,Listening to music,3,2,1
35,Indoor leisure and resting,Surfing the Internet,3,2,1
32,Indoor leisure and resting,Computer games,3,2,1
34,Indoor leisure and resting,Watching TV/movies,3,2,1
26,Indoor leisure and resting,News,3,2,1
80,News,Watching or reading news,2,1,1
25,Indoor leisure and resting,Reading,3,2,1
31,Indoor leisure and resting,Board games,3,2,1
30,Indoor leisure and resting,Intellectual entertainment,3,2,1
83,Intellectual entertainment,"Intellectual entertainment (e.g., crosswords)",2,1,1
27,Indoor leisure and resting,Hobby,3,2,1
3,Entertainment,Outdoor leisure,4,3,5
28,Outdoor leisure,Hobby,3,2,1
81,Hobby,Getting new information on ones hobby,2,1,1
82,Hobby,"Hobby (e.g., fishing)",2,1,1
36,Outdoor leisure,Cultural events,3,2,1
84,Cultural events,"Cultural events (e.g., concert, theatre play)",2,1,1
37,Outdoor leisure,Ability games,3,2,1
85,Ability games,"Ability games (e.g., billiards, bowling)",2,1,1
39,Outdoor leisure,Walking,3,2,1
86,Walking,Hiking,2,1,1
38,Outdoor leisure,Sightseeing,3,2,1
6,Household,Errands,4,3,2
42,Errands,Formal errands,3,2,1
87,Formal errands,"Formal errands (e.g., at the post office)",2,1,1
43,Errands,Informal errands,3,2,1
88,Informal errands,"Informal errands (e.g., making an appointment at a beauty salon)",2,1,1
7,Household,Housework,4,3,3
44,Housework,Caring for a family,3,2,1
89,Caring for a family,"Caring for a family (e.g., cooking)",2,1,1
45,Housework,Cleaning,3,2,1
46,Housework,Cooking,3,2,1
8,Household,Shopping,4,3,4
90,Shopping,Shopping at a store,3,1,1
48,Shopping,Buying gifts,3,2,2
91,Buying gifts,Buying gifts online,2,1,1
92,Buying gifts,Buying gifts at a store,2,1,1
47,Shopping,Shopping online,3,2,1
9,Maintenance,Health and personal care,4,3,6
49,Health and personal care,Medical care,3,2,1
93,Medical care,Medical errands,2,1,1
