"","source","target","level_source","level_target","value"
"1","Food","cooking/ preparing a meal",4,3,1
"2","cooking/ preparing a meal","making/ having a tea/ coffee",3,1,1
"3","Food","baking",4,1,1
"4","Food","ordering food",4,1,1
"5","Food","going out for fast food restaurant",4,1,1
"6","Food","going to a restaurant",4,1,1
"7","Food","going to a cafe",4,1,1
"8","Food","snacking",4,1,1
"9","Food","eating a meal",4,1,1
"10","Personal grooming","getting ready",4,3,9
"11","getting ready","showering",3,1,1
"12","getting ready","washing/ drying hair",3,1,1
"13","getting ready","putting on/ changing clothes",3,1,1
"14","getting ready","brushed my teeth",3,1,1
"15","getting ready","washed my face",3,1,1
"16","getting ready","putting on a face mask",3,1,1
"17","getting ready","doing make up",3,1,1
"18","getting ready","painting nails",3,1,1
"19","getting ready","dying hair",3,1,1
"20","Personal grooming","getting ready for bed",4,3,5
"21","getting ready for bed","showering",3,1,1
"22","getting ready for bed","washing/ drying hair",3,1,1
"23","getting ready for bed","putting on/ changing clothes",3,1,1
"24","getting ready for bed","brushed my teeth",3,1,1
"25","getting ready for bed","washed my face",3,1,1
"26","Personal grooming","getting a piercing",4,1,1
"27","Personal grooming","getting a massage",4,1,1
"28","Personal grooming","going to hairdresser",4,1,1
"29","Personal grooming","going to beauty salon",4,1,1
"30","Personal grooming","going to nail salon",4,1,1
"31","Resting","taking a nap",4,1,1
"32","Resting","taking a break",4,1,1
"33","Resting","relaxing/ chilling/ resting",4,1,1
"34","Resting","laying/ sitting somewhere",4,1,1
"35","Resting","nothing",4,1,1
"36","Hobby","playing videogames",4,2,1
"37","Hobby","playing games",4,2,4
"38","playing games","sudoku",2,1,1
"39","playing games","jigsaw puzzles",2,1,1
"40","playing games","playing pool",2,1,1
"41","playing games","lasergaming",2,1,1
"42","Hobby","pet activities",4,2,1
"43","Hobby","watering plant",4,1,1
"44","Hobby","repotting plant",4,1,1
"45","Hobby","working on a creative task",4,3,15
"46","working on a creative task","looking at old picture/ photos/videos",3,1,1
"47","working on a creative task","crafting a photo wall",3,1,1
"48","working on a creative task","assembling a miniature",3,1,1
"49","working on a creative task","painting",3,1,1
"50","working on a creative task","drawing",3,1,1
"51","working on a creative task","making a bracelet",3,1,1
"52","working on a creative task","crochet",3,1,1
"53","working on a creative task","knitting",3,1,1
"54","working on a creative task","reading",3,1,1
"55","working on a creative task","writing poem for Sinterklaas",3,1,1
"56","working on a creative task","singing",3,2,1
"57","working on a creative task","playing an instrument",3,2,1
"58","working on a creative task","acting / practicing (theatre / comedy)",3,2,1
"59","working on a creative task","photo/ video shooting",3,2,1
"60","working on a creative task","journaling",3,2,1
"61","City","going to the city",4,3,3
"62","going to the city","going to the theatre",3,1,1
