Category,Level 3,Level 2,Level 1,Cluster
Food,cooking/ preparing a meal,-,making/ having a tea/ coffee,1
Food,-,-,baking,1
Food,-,-,ordering food,2
Food,-,-,going out for fast food restaurant,3
Food,-,-,going to a restaurant,3
Food,-,-,going to a cafe,3
Food,-,-,snacking,4
Food,-,-,eating a meal,4
personal grooming,getting ready,-,showering,5
personal grooming,getting ready,-,washing/ drying hair,5
personal grooming,getting ready,-,putting on/ changing clothes,5
personal grooming,getting ready for bed,-,showering,5
personal grooming,getting ready for bed,-,washing/ drying hair,5
personal grooming,getting ready for bed,-,putting on/ changing clothes,5
personal grooming,getting ready,-,brushed my teeth,5
personal grooming,getting ready,-,washed my face,5
personal grooming,getting ready for bed,-,brushed my teeth,5
personal grooming,getting ready for bed,-,washed my face,5
personal grooming,getting ready,-,putting on a face mask,6
personal grooming,getting ready,-,doing make up,6
personal grooming,getting ready,-,painting nails,6
personal grooming,getting ready,-,dying hair,6
personal grooming,-,-,getting a piercing,7
personal grooming,-,-,getting a massage,7
personal grooming,-,-,going to hairdresser,7
personal grooming,-,-,going to beauty salon,7
personal grooming,-,-,going to nail salon,7
City,going to the city,-,going to the theatre,8
City,going to the city,-,goingt to the forum,8
City,going to the city,-,watching movie in the cinema,8
Nature,going outside,-,being at a lake,9
Nature,going outside,-,going to the ocean,9
Nature,going outside,-,being at a park,9
Nature,going outside,-,visting a botanical garden,9
Nature,going outside,-,being in a forest,9
University,being at university/ faculty/library,having a uni-related meeting,taking an exam,10
University,being at university/ faculty/library,having a uni-related meeting,attending a lecture,10
University,being at university/ faculty/library,having a uni-related meeting,attending a practical,10
University,being at university/ faculty/library,student association/ committee meeting,-,-
University,-,-,working on a university assigment,11
University,-,-,receiving test results/ grades,11
University,-,studying,,
Other,-,-,having a driving lesson,12
Work,charity work/ Volunteering,,,
Work,going to/ being at work/ the office,work-related meeting,assisting in an operation/ surgery,13
Work,going to/ being at work/ the office,work-related meeting,patient consultation,13
Work,-,-,participating in research,14
Work,-,-,babysitting,14
Work,-,-,teaching language classes,14
Work,-,-,tutoring,14
Work,-,-,giving riding lessons,14
Work,-,-,teaching a sports class,14
Work,-,work-related meeting,had my job interview,101
Sporting,-,-,teaching a sports class,14
Religion,religious activities,-,going to church,15
Travel,traveling,city trip/ vacation,-,-
Travel,traveling,sightseeing,-,-
Transport,traveling,-,taking a flight,16
Transport,traveling,-,taking/ waiting for public transportation,16
Transport,traveling,-,walking,16
Transport,traveling,-,biking/ cycling,16
Transport,traveling,-,traveling by car,16
Transport,traveling,-,going home,17
Resting,-,-,taking a nap,18
Resting,-,-,taking a break,18
Resting,-,-,relaxing/ chilling/ resting,18
Other,-,-,procrastinating,103
Resting,-,-,laying/ sitting somewhere,18
Resting,-,-,nothing,18
Other,-,-,meditating,19
Other,-,-,thinking,103
Sporting,going to the gym,-,-,
Sporting,doing a workout,-,yoga,20
Sporting,doing a workout,-,pilates,20
Sporting,doing a workout,-,stretching,20
Sporting,doing a workout,-,archery,21
Sporting,doing a workout,-,playing basketball,21
Sporting,doing a workout,-,playing football,21
Sporting,doing a workout,-,playing table tennis,21
Sporting,doing a workout,-,playing tennis,21
Sporting,doing a workout,-,dancing,22
Sporting,doing a workout,-,swimming,22
Sporting,doing a workout,-,going for a run,22
Sporting,doing a workout,-,inline skating,22
Sporting,doing a workout,-,kickboxing,100
Sporting,doing a workout,-,MMA,100
